Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-08-23 17:50:49,1,1,99 Luca Godenzini,28 Anika,0,0,0,0,0,0,0,0,0,0,0,10.773163,9.054923,5.8369,0.6778075,0.825334,0.52005345,0.7347848
2026-08-23 17:50:58,1,1,28 Anika,27 Erica Lastufka,1,0,1,0,0,0,0,0,0,0,0,13.239979,12.469077,4.4518704,0.52005345,0.7347848,0.39973262,0.610094
2026-08-23 17:51:40,1,2,99 Luca Godenzini,30 Quinn Bergeron,0,0,0,0,0,0,0,1,0,0,0,13.383298,1.4349341,13.3061495,0.62299466,0.8095003,0.263369,0.79515094
2026-08-23 17:51:49,1,2,30 Quinn Bergeron,19 Moritz Roevekamp,0,0,0,0,0,0,0,1,0,0,0,16.486485,-0.6927252,-16.471926,0.263369,0.79515094,0.7085562,0.8020782
2026-08-23 17:52:04,1,2,19 Moritz Roevekamp,28 Anika,0,0,0,0,0,0,0,0,0,0,0,11.649641,8.164274,8.310161,0.7085562,0.8020782,0.48395723,0.72043544
2026-08-23 17:52:07,1,2,28 Anika,99 Luca Godenzini,0,0,0,0,0,0,0,0,0,0,0,7.716583,7.4715495,1.9291446,0.48395723,0.72043544,0.4318182,0.64571995
2026-08-23 17:52:10,1,2,99 Luca Godenzini,11 Ronja Seibert,0,0,0,0,0,0,0,0,0,0,0,6.480703,-0.09896159,6.479947,0.4318182,0.64571995,0.25668448,0.64670956
2026-08-23 17:52:20,1,2,11 Ronja Seibert,28 Anika,0,0,0,0,0,0,0,0,1,0,0,9.186333,-5.739731,-7.1724606,0.25668448,0.64670956,0.45053476,0.70410687
2026-08-23 17:52:26,1,2,28 Anika,30 Quinn Bergeron,0,0,0,0,0,0,0,1,0,0,0,14.674948,6.976742,-12.910428,0.45053476,0.70410687,0.79946524,0.63433945
2026-08-23 17:52:35,1,2,30 Quinn Bergeron,27 Erica Lastufka,0,0,0,0,0,1,0,0,0,0,0,40.178253,40.17813,0.098930776,0.79946524,0.63433945,0.79679143,0.23255815
2026-08-23 17:52:39,1,2,27 Erica Lastufka,70 Steffen Van,0,0,0,1,1,0,0,0,0,0,0,12.775827,11.627908,5.29278,0.79679143,0.23255815,0.6537433,0.11627907
2026-08-23 17:53:32,2,1,10 Cedric von,81 Emily Cai,0,0,0,0,0,0,0,0,0,1,0,11.640631,11.627907,0.54411817,0.85828876,0.83028203,0.84358287,0.71400297
2026-08-23 17:53:39,2,1,81 Emily Cai,10 Cedric von,0,0,0,0,0,0,0,0,1,0,0,8.815133,-4.601681,7.518717,0.84358287,0.71400297,0.6403743,0.7600198
2026-08-23 17:53:52,2,1,10 Cedric von,18 Martin Fahndrich,0,0,0,0,0,0,0,0,0,0,0,9.979348,8.906478,-4.501338,0.6403743,0.7600198,0.7620321,0.670955
2026-08-23 17:54:29,2,1,18 Martin Fahndrich,10 Cedric von,0,0,0,0,0,0,0,0,0,0,0,9.69638,4.651165,8.508022,0.7620321,0.670955,0.53208554,0.62444335
2026-08-23 17:54:31,2,1,10 Cedric von,08 Francesca Pietrafesa,0,0,0,0,0,0,0,0,0,0,0,12.705865,10.242456,-7.518717,0.53208554,0.62444335,0.7352941,0.5220188
2026-08-23 17:54:33,2,1,08 Francesca Pietrafesa,10 Cedric von,0,0,0,0,0,1,0,0,0,0,0,7.5877275,0.5442858,7.568181,0.7352941,0.5220188,0.53074867,0.51657593
2026-08-23 17:54:35,2,1,10 Cedric von,18 Martin Fahndrich,0,0,0,1,1,0,0,0,0,0,0,39.640274,38.842155,-7.914438,0.53074867,0.51657593,0.7446524,0.12815438
2026-08-23 17:55:17,3,1,03 Jason Christian,17 Alexandra Tutuian,0,0,0,0,0,0,0,0,0,0,0,19.269947,16.476992,-9.991978,0.38235295,0.6001979,0.6524064,0.435428
2026-08-23 17:55:28,3,1,17 Alexandra Tutuian,34 Noah Kesseli,0,0,0,0,0,0,0,0,0,0,0,7.9073415,7.2241454,3.2152402,0.6524064,0.435428,0.565508,0.36318654
2026-08-23 17:55:36,3,1,34 Noah Kesseli,03 Jason Christian,0,0,0,0,0,0,0,0,1,0,0,10.727297,-7.075706,8.062834,0.565508,0.36318654,0.34759358,0.4339436
2026-08-23 17:55:37,3,1,03 Jason Christian,54 Thanh Elsener,0,0,0,0,0,0,0,0,1,0,0,9.22923,-2.919346,-8.755347,0.34759358,0.4339436,0.5842246,0.46313706
2026-08-23 17:55:44,3,1,54 Thanh Elsener,81 Emily Cai,0,0,0,0,0,0,0,0,0,0,0,11.060139,8.065313,-7.5681834,0.5842246,0.46313706,0.7887701,0.38248393
2026-08-23 17:55:52,3,1,81 Emily Cai,03 Jason Christian,0,0,0,0,0,0,0,0,1,0,0,8.479291,-5.096486,6.7767396,0.7887701,0.38248393,0.60561496,0.4334488
2026-08-23 17:55:58,3,1,03 Jason Christian,51 Lilli Gerber,0,0,0,0,0,1,0,1,0,0,1,13.355851,7.075706,-11.327539,0.60561496,0.4334488,0.9117647,0.36269173
2026-08-23 17:56:04,3,1,51 Lilli Gerber,17 Alexandra Tutuian,0,0,0,1,1,0,0,0,0,1,1,27.226353,27.164768,1.8302138,0.9117647,0.36269173,0.86229944,0.09104404
2026-08-23 17:57:08,4,1,10 Cedric von,18 Martin Fahndrich,0,0,0,0,0,0,0,0,0,1,0,34.89341,33.201385,10.733957,0.92112297,0.74418604,0.631016,0.4121722
