Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-08-23 07:50:08,2,1,99 Luca Godenzini,11 Ronja Seibert,0,0,0,0,0,0,0,0,0,0,0,10.755067,5.0470057,9.497326,0.79545456,0.7624938,0.5387701,0.71202374
2026-08-23 07:50:21,2,1,11 Ronja Seibert,19 Moritz Roevekamp,0,0,0,0,0,0,0,1,0,0,1,15.484651,3.2657087,15.136365,0.5387701,0.71202374,0.12967914,0.67936665
2026-08-23 07:50:27,2,1,19 Moritz Roevekamp,27 Erica Lastufka,0,0,0,0,0,0,0,0,0,1,0,9.97052,3.9584339,-9.15107,0.12967914,0.67936665,0.37700534,0.6397823
2026-08-23 07:50:32,2,1,27 Erica Lastufka,11 Ronja Seibert,0,0,0,0,0,0,0,0,0,0,0,6.8147774,1.0885715,-6.727273,0.37700534,0.6397823,0.5588235,0.6288966
2026-08-23 07:50:40,2,1,11 Ronja Seibert,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,9.481949,6.8283024,-6.578878,0.5588235,0.6288966,0.73663104,0.5606136
2026-08-23 07:50:48,2,1,70 Steffen Van,99 Luca Godenzini,0,0,0,0,0,0,0,0,1,0,0,10.725984,-6.333494,8.656418,0.73663104,0.5606136,0.5026738,0.6239485
2026-08-23 07:50:54,2,1,99 Luca Godenzini,27 Erica Lastufka,0,0,0,0,0,0,0,0,0,0,0,8.737611,8.510637,-1.9786088,0.5026738,0.6239485,0.5561497,0.53884214
2026-08-23 08:21:18,2,1,27 Erica Lastufka,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,6.4426546,0.3958404,-6.430483,0.5561497,0.53884214,0.72994655,0.53488374
2026-08-23 08:21:35,2,1,70 Steffen Van,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,8.397032,-0.7916868,8.359628,0.72994655,0.53488374,0.5040107,0.5428006
2026-08-23 08:21:40,2,1,30 Quinn Bergeron,99 Luca Godenzini,0,0,0,0,0,0,0,1,0,0,0,13.592053,5.640772,12.366309,0.5040107,0.5428006,0.1697861,0.4863929
2026-08-23 08:21:56,2,1,99 Luca Godenzini,30 Quinn Bergeron,0,0,0,0,0,0,0,1,0,0,0,13.991878,-6.7293434,-12.267379,0.1697861,0.4863929,0.5013369,0.5536863
2026-08-23 08:22:03,2,1,30 Quinn Bergeron,19 Moritz Roevekamp,0,0,0,0,0,0,0,1,0,0,0,13.968695,5.7892175,-12.712568,0.5013369,0.5536863,0.8449198,0.49579415
2026-08-23 08:22:10,2,1,19 Moritz Roevekamp,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,14.424747,9.054923,11.228611,0.8449198,0.49579415,0.5414438,0.40524492
2026-08-23 08:22:59,2,1,70 Steffen Van,59 Yael Grob,1,1,0,1,0,0,0,0,0,0,0,26.476665,26.472044,-0.49465388,0.5414438,0.40524492,0.55481285,0.14052449
2026-08-23 08:23:25,2,2,30 Quinn Bergeron,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,8.8714,4.0079174,-7.9144387,0.45454547,0.3785255,0.6684492,0.33844632
2026-08-23 08:23:36,2,2,70 Steffen Van,30 Quinn Bergeron,1,1,1,0,0,0,0,0,0,0,0,4.175156,4.15636,0.3957231,0.6684492,0.33844632,0.657754,0.29688272
2026-08-23 08:24:34,3,1,30 Quinn Bergeron,28 Anika,0,0,0,0,0,0,0,0,0,0,0,10.695886,6.4819393,8.508022,0.72727275,0.72043544,0.4973262,0.65561604
2026-08-23 08:24:42,3,1,28 Anika,12 Anika Gnaedinger,0,0,0,0,0,0,0,0,0,0,0,9.617544,9.599209,-0.59358245,0.4973262,0.65561604,0.51336896,0.55962396
2026-08-23 08:24:47,3,1,12 Anika Gnaedinger,30 Quinn Bergeron,0,0,0,0,0,0,0,1,0,0,0,13.408545,7.174668,-11.327542,0.51336896,0.55962396,0.81951874,0.48787728
2026-08-23 08:24:54,3,1,30 Quinn Bergeron,28 Anika,0,0,0,0,0,0,0,1,0,0,0,13.571597,-5.5912943,12.366312,0.81951874,0.48787728,0.4852941,0.5437902
2026-08-23 08:25:02,3,1,28 Anika,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,9.669456,1.1875331,-9.596256,0.4852941,0.5437902,0.7446524,0.5319149
2026-08-23 08:25:32,3,1,30 Quinn Bergeron,28 Anika,0,0,0,0,0,0,0,0,0,0,0,5.6882124,5.145967,-2.4237962,0.7446524,0.5319149,0.8101604,0.48045522
2026-08-23 08:25:34,3,1,28 Anika,42 Tim Mueller,0,0,0,0,0,0,0,0,0,0,1,26.935223,26.620483,-4.105615,0.8101604,0.48045522,0.92112297,0.21425037
2026-08-23 08:25:47,3,1,42 Tim Mueller,30 Quinn Bergeron,0,0,0,0,0,1,0,0,1,1,0,10.100741,-4.057397,9.25,0.92112297,0.21425037,0.67112297,0.25482434
2026-08-23 08:25:54,3,1,30 Quinn Bergeron,28 Anika,0,0,0,1,1,0,0,0,0,0,0,12.525884,11.528945,-4.897059,0.67112297,0.25482434,0.8034759,0.13953489
2026-08-23 08:27:06,5,1,70 Steffen Van,11 Ronja Seibert,0,0,0,0,0,0,0,0,0,0,0,6.3568974,3.1172693,5.540106,0.6550802,0.6115784,0.5053476,0.5804057
2026-08-23 08:27:15,5,1,11 Ronja Seibert,27 Erica Lastufka,0,0,0,0,0,0,0,0,0,0,0,18.054409,17.961403,-1.8302138,0.5053476,0.5804057,0.55481285,0.40079167
2026-08-23 08:27:25,5,1,27 Erica Lastufka,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,6.7628455,-0.69272816,-6.727273,0.55481285,0.40079167,0.73663104,0.40771896
2026-08-23 08:27:47,5,1,70 Steffen Van,59 Yael Grob,0,0,0,0,0,0,0,0,0,0,1,5.464778,0.89064837,-5.3917108,0.73663104,0.40771896,0.88235295,0.39881247
2026-08-23 08:27:54,5,1,59 Yael Grob,11 Ronja Seibert,0,0,0,0,0,0,0,0,1,1,0,9.8317175,-7.075706,6.826204,0.88235295,0.39881247,0.69786096,0.46956953
2026-08-23 08:28:20,5,1,11 Ronja Seibert,19 Moritz Roevekamp,0,0,0,0,0,0,0,1,0,0,0,19.195932,4.7501235,18.59893,0.69786096,0.46956953,0.19518717,0.4220683
2026-08-23 08:28:37,5,1,19 Moritz Roevekamp,50 Philip Arm,0,0,0,0,0,1,0,0,0,0,1,5.520941,1.1875331,5.391711,0.19518717,0.4220683,0.04946524,0.41019297
2026-08-23 08:28:56,5,1,50 Philip Arm,70 Steffen Van,0,0,0,1,1,0,0,0,0,1,1,29.036066,28.995546,-1.5334226,0.04946524,0.41019297,0.09090909,0.12023751
2026-08-23 08:29:58,6,1,03 Jason Christian,81 Emily Cai,0,0,0,0,0,0,0,1,0,1,0,15.393316,0.5442858,15.383691,0.95320857,0.8243444,0.53743315,0.81890154
2026-08-23 08:30:01,6,1,81 Emily Cai,34 Noah Kesseli,0,0,0,0,0,0,0,1,0,0,1,17.363089,6.679863,16.026737,0.53743315,0.81890154,0.10427807,0.7521029
2026-08-23 08:30:13,6,1,34 Noah Kesseli,81 Emily Cai,0,0,0,0,0,0,0,1,0,1,0,13.627394,-4.0573955,-13.009358,0.10427807,0.7521029,0.45588234,0.79267687
2026-08-23 08:30:17,6,1,81 Emily Cai,34 Noah Kesseli,0,0,0,0,0,0,0,0,0,0,0,5.568225,5.145967,-2.127005,0.45588234,0.79267687,0.51336896,0.7412172
2026-08-23 08:30:21,6,1,34 Noah Kesseli,18 Martin Fahndrich,0,0,0,0,0,0,0,0,0,0,0,8.235281,4.7501206,-6.727273,0.51336896,0.7412172,0.69518715,0.693716
2026-08-23 08:30:27,6,1,18 Martin Fahndrich,34 Noah Kesseli,0,0,0,0,0,0,0,0,0,0,0,8.97272,8.906484,-1.0882363,0.69518715,0.693716,0.72459894,0.60465115
2026-08-23 08:30:35,6,1,34 Noah Kesseli,81 Emily Cai,0,0,0,0,0,0,0,1,0,0,0,11.812577,-3.5131156,11.278075,0.72459894,0.60465115,0.4197861,0.6397823
2026-08-23 08:30:39,6,1,81 Emily Cai,34 Noah Kesseli,0,0,0,0,0,0,0,0,0,0,0,9.025624,-0.6432414,-9.002674,0.4197861,0.6397823,0.6631016,0.6462147
