Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-08-25 11:00:25,1,1,10 Cedric von,17 Alexandra Tutuian,0,0,0,0,0,0,0,0,0,0,0,10.201706,10.143497,-1.0882363,0.6430481,0.56704605,0.6724599,0.46561107
2026-08-25 11:00:30,1,1,17 Alexandra Tutuian,10 Cedric von,0,0,0,0,0,0,0,0,0,0,0,5.607121,5.393368,1.5334237,0.6724599,0.46561107,0.631016,0.4116774
2026-08-25 11:00:33,1,1,10 Cedric von,81 Emily Cai,0,0,0,0,0,0,0,0,0,0,0,6.2191954,3.2657118,5.29278,0.631016,0.4116774,0.4879679,0.37902027
2026-08-25 11:00:41,1,1,81 Emily Cai,09 Jan Ghadamian,0,0,0,0,0,1,0,0,0,0,0,15.713735,14.200889,-6.727273,0.4879679,0.37902027,0.6697861,0.23701139
2026-08-25 11:00:43,1,1,09 Jan Ghadamian,34 Noah Kesseli,0,0,0,1,1,0,0,0,0,0,0,12.023555,11.528947,-3.413102,0.6697861,0.23701139,0.7620321,0.12172192
2026-08-30 11:38:28,3,1,30 Quinn Bergeron,28 Anika,0,0,0,0,0,0,0,1,0,1,0,14.387452,6.8486633,-12.652849,0.05699482,0.8127395,0.39896372,0.74425286
2026-08-30 11:38:35,3,1,28 Anika,99 Luca Godenzini,0,0,0,0,0,0,0,1,0,0,0,14.54523,1.4367819,-14.4740925,0.39896372,0.74425286,0.7901554,0.72988504
2026-08-30 11:38:45,3,1,99 Luca Godenzini,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,1,9.703925,8.668584,-4.3614006,0.7901554,0.72988504,0.9080311,0.6431992
2026-08-30 11:38:57,3,1,70 Steffen Van,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,1,0,29.158115,-16.044062,24.34715,0.9080311,0.6431992,0.25,0.8036398
2026-08-30 11:39:02,3,1,30 Quinn Bergeron,50 Philip Arm,0,0,0,0,0,0,0,0,0,0,1,10.098951,7.327586,6.949482,0.25,0.8036398,0.062176164,0.73036397
2026-08-30 11:39:06,3,1,50 Philip Arm,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,1,0,10.793769,-5.79502,-9.106217,0.062176164,0.73036397,0.30829015,0.78831416
2026-08-30 11:39:13,3,1,30 Quinn Bergeron,99 Luca Godenzini,0,0,0,0,0,0,0,1,0,0,0,14.890053,3.6877394,-14.426166,0.30829015,0.78831416,0.6981865,0.75143677
2026-08-30 11:39:22,3,1,99 Luca Godenzini,28 Anika,1,1,0,0,0,0,0,0,0,0,0,42.299076,42.289272,0.9106223,0.6981865,0.75143677,0.6735751,0.32854405
2026-08-30 11:40:25,4,1,28 Anika,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,5.941115,2.4425268,5.415802,0.7266839,0.795977,0.5803109,0.7715517
2026-08-30 11:40:36,4,1,30 Quinn Bergeron,27 Erica Lastufka,0,0,0,0,0,0,0,0,0,0,0,11.782023,11.494255,-2.5880833,0.5803109,0.7715517,0.6502591,0.6566092
2026-08-30 11:40:39,4,1,27 Erica Lastufka,28 Anika,0,0,0,0,0,0,0,0,1,0,0,7.159808,-3.352493,-6.3264246,0.6502591,0.6566092,0.8212435,0.6901341
2026-08-30 11:40:48,4,1,28 Anika,27 Erica Lastufka,0,0,0,0,0,1,0,0,0,0,1,8.157958,7.8544083,-2.204664,0.8212435,0.6901341,0.88082904,0.61159
2026-08-30 11:40:57,4,1,27 Erica Lastufka,59 Yael Grob,0,0,0,1,1,0,0,0,0,1,1,46.892483,46.88697,0.71891373,0.88082904,0.61159,0.86139894,0.14272031
2026-08-30 11:42:03,5,1,10 Cedric von,09 Jan Ghadamian,0,0,0,0,0,0,0,0,0,1,1,13.394264,13.122606,2.6839375,0.13471502,0.4262452,0.062176164,0.29501915
2026-08-30 11:42:10,5,1,09 Jan Ghadamian,17 Alexandra Tutuian,1,1,0,1,0,0,0,0,0,1,1,17.056541,17.049807,0.47927457,0.062176164,0.29501915,0.049222797,0.12452107
2026-08-30 11:42:37,5,2,10 Cedric von,09 Jan Ghadamian,0,0,0,0,0,0,0,1,0,1,0,18.435942,2.5383143,-18.260363,0.08549223,0.28208813,0.57901555,0.256705
2026-08-30 11:42:45,5,2,09 Jan Ghadamian,10 Cedric von,0,0,0,0,0,0,0,0,1,0,0,8.423775,-7.6628356,3.4987044,0.57901555,0.256705,0.48445597,0.33333334
2026-08-30 11:42:49,5,2,10 Cedric von,81 Emily Cai,0,0,0,0,0,0,0,0,0,0,0,14.772159,10.296936,-10.591968,0.48445597,0.33333334,0.77072537,0.23036398
