Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-08-30 15:36:21,2,1,10 Cedric von,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,6.100898,4.8555613,-3.6938434,0.749584,0.7888752,0.8494176,0.7403196
2026-08-30 15:36:23,2,1,30 Quinn Bergeron,10 Cedric von,0,0,0,0,0,0,0,0,1,0,0,9.836545,-5.162877,8.372712,0.8494176,0.7403196,0.6231281,0.7919484
2026-08-30 15:36:30,2,1,10 Cedric von,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,0,0,4.9790893,-4.671174,1.7237936,0.6231281,0.7919484,0.5765391,0.8386601
2026-08-30 15:36:35,2,1,30 Quinn Bergeron,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,9.515808,6.146282,-7.264559,0.5765391,0.8386601,0.7728785,0.7771973
2026-08-30 15:36:49,2,1,70 Steffen Van,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,7.2648187,0.06146431,7.264559,0.7728785,0.7771973,0.5765391,0.77658266
2026-08-30 15:36:56,2,1,30 Quinn Bergeron,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,9.755022,3.3189893,-9.173046,0.5765391,0.77658266,0.82445925,0.74339277
2026-08-30 15:36:57,2,1,70 Steffen Van,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,1,6.636781,6.392133,-1.7853565,0.82445925,0.74339277,0.87271214,0.67947143
2026-08-30 15:37:03,2,1,30 Quinn Bergeron,10 Cedric von,1,1,0,0,0,0,0,0,0,1,0,36.2779,33.988937,12.682196,0.87271214,0.67947143,0.5299501,0.33958206
2026-08-30 15:37:57,3,1,30 Quinn Bergeron,11 Ronja Seibert,0,0,0,0,0,0,0,0,0,1,0,10.33879,3.5033822,9.727121,0.9259567,0.6899201,0.66306156,0.6548863
2026-08-30 15:38:05,3,1,11 Ronja Seibert,99 Luca Godenzini,0,0,0,0,0,0,0,0,1,0,0,5.505733,-5.0399485,-2.2163062,0.66306156,0.6548863,0.7229617,0.7052858
2026-08-30 15:38:10,3,1,99 Luca Godenzini,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,0,1,6.0309153,-2.519977,-5.4792023,0.7229617,0.7052858,0.8710483,0.73048556
2026-08-30 15:38:16,3,1,30 Quinn Bergeron,11 Ronja Seibert,0,0,0,0,0,0,0,0,1,1,0,11.341947,-5.2857995,10.034943,0.8710483,0.73048556,0.5998336,0.78334355
2026-08-30 15:38:20,3,1,11 Ronja Seibert,42 Tim Mueller,0,0,0,0,0,0,0,1,0,0,0,16.462719,4.5482454,15.821964,0.5998336,0.78334355,0.17221297,0.7378611
2026-08-30 15:38:22,3,1,42 Tim Mueller,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,0,0,11.123102,-3.9336205,-10.404327,0.17221297,0.7378611,0.45341098,0.7771973
2026-08-30 15:38:26,3,1,30 Quinn Bergeron,99 Luca Godenzini,0,0,0,0,0,0,0,1,0,0,1,15.677393,4.4867873,-15.02163,0.45341098,0.7771973,0.859401,0.7323294
2026-08-30 15:38:31,3,1,99 Luca Godenzini,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,1,0,10.901977,-3.6263049,10.281197,0.859401,0.7323294,0.5815308,0.7685925
2026-08-30 15:38:36,3,1,30 Quinn Bergeron,11 Ronja Seibert,0,0,0,0,0,0,0,0,0,0,1,16.187286,11.124765,-11.758734,0.5815308,0.7685925,0.89933443,0.6573448
2026-08-30 15:38:40,3,1,11 Ronja Seibert,99 Luca Godenzini,0,0,0,0,0,0,0,0,1,1,0,10.228356,-5.9618893,8.311147,0.89933443,0.6573448,0.67470884,0.7169637
2026-08-30 15:38:43,3,1,99 Luca Godenzini,42 Tim Mueller,0,0,0,0,0,0,0,0,1,0,0,9.522022,-2.7658284,9.111482,0.67470884,0.7169637,0.42845258,0.744622
2026-08-30 15:39:07,3,1,42 Tim Mueller,99 Luca Godenzini,0,0,0,0,0,0,0,0,1,0,0,6.506539,-4.179472,-4.9866886,0.42845258,0.744622,0.56322795,0.7864167
2026-08-30 15:39:08,3,1,99 Luca Godenzini,30 Quinn Bergeron,1,1,1,0,0,0,0,0,0,0,0,8.603987,2.6428998,8.18802,0.56322795,0.7864167,0.34193012,0.7599877
2026-08-30 15:39:56,4,1,10 Cedric von,28 Anika,0,0,0,0,0,0,0,0,0,0,0,11.496183,11.493546,-0.24625623,0.4234609,0.78088504,0.43011647,0.6659496
2026-08-30 15:40:02,4,1,28 Anika,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,0,0,15.807945,-9.096498,-12.9284525,0.43011647,0.6659496,0.7795341,0.75691456
2026-08-30 15:40:05,4,1,30 Quinn Bergeron,10 Cedric von,0,0,0,0,0,0,0,1,0,0,0,13.287688,-1.1677921,13.236273,0.7795341,0.75691456,0.421797,0.7685925
2026-08-30 15:40:11,4,1,10 Cedric von,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,0,9.927706,8.358937,5.356073,0.421797,0.7685925,0.27703828,0.6850031
