Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-08-30 13:33:47,2,1,30 Quinn Bergeron,10 Cedric von,0,0,0,0,0,0,0,0,1,1,0,11.804091,-9.711128,6.710481,0.9326123,0.52335584,0.75124794,0.6204671
2026-08-30 13:33:59,2,1,10 Cedric von,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,11.163902,7.314074,8.434277,0.75124794,0.6204671,0.5232945,0.5473264
2026-08-30 13:34:34,2,1,30 Quinn Bergeron,70 Steffen Van,1,1,0,1,0,0,0,0,0,0,0,43.37485,43.269825,3.0166388,0.5232945,0.5473264,0.44176373,0.11462815
2026-08-30 13:35:20,2,2,28 Anika,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,1,0,10.893557,-6.330669,-8.865225,0.11231281,0.26336816,0.35191348,0.32667485
2026-08-30 13:35:25,2,2,30 Quinn Bergeron,50 Philip Arm,0,0,0,0,0,0,0,1,0,0,0,13.569806,-1.536572,-13.482529,0.35191348,0.32667485,0.71630615,0.34204057
2026-08-30 13:35:28,2,2,50 Philip Arm,30 Quinn Bergeron,0,0,0,0,0,0,0,0,1,0,0,9.011422,-3.6263049,8.249584,0.71630615,0.34204057,0.49334443,0.37830362
2026-08-30 13:35:33,2,2,30 Quinn Bergeron,50 Philip Arm,0,0,0,0,0,0,0,0,1,0,0,6.360527,-3.0116796,5.6023293,0.49334443,0.37830362,0.34193012,0.4084204
2026-08-30 13:35:35,2,2,50 Philip Arm,70 Steffen Van,0,0,0,0,0,0,0,0,0,0,1,14.3803835,11.37062,8.80366,0.34193012,0.4084204,0.10399334,0.2947142
2026-08-30 13:36:35,2,2,70 Steffen Van,32 Fiona Pacifico,1,1,0,1,0,0,0,0,0,1,1,18.843962,18.807623,-1.1697171,0.10399334,0.2947142,0.13560732,0.106637985
2026-08-30 13:37:05,2,3,30 Quinn Bergeron,50 Philip Arm,0,0,0,0,0,0,0,0,1,0,0,9.356531,-1.8438846,9.173045,0.40848586,0.181008,0.16056572,0.19944684
2026-08-30 13:37:12,2,3,50 Philip Arm,30 Quinn Bergeron,1,0,1,1,0,0,0,1,0,0,0,13.054747,6.2692075,-11.450914,0.16056572,0.19944684,0.47004992,0.13675477
2026-08-30 13:37:32,2,4,10 Cedric von,28 Anika,0,0,0,0,0,0,0,1,0,1,0,15.473753,1.5980363,15.391014,0.9093178,0.59895515,0.49334443,0.5829748
2026-08-30 13:37:47,2,4,28 Anika,30 Quinn Bergeron,0,0,0,0,0,0,0,0,0,0,0,11.129822,4.5482454,10.158071,0.49334443,0.5829748,0.21880199,0.53749233
2026-08-30 13:37:48,2,4,30 Quinn Bergeron,12 Anika Gnaedinger,0,0,0,0,0,0,0,0,0,0,0,12.627699,9.342348,-8.495841,0.21880199,0.53749233,0.4484193,0.44406885
2026-08-30 13:37:53,2,4,12 Anika Gnaedinger,70 Steffen Van,0,0,0,0,0,0,0,1,0,0,0,12.843364,-2.0282717,-12.682197,0.4484193,0.44406885,0.7911814,0.46435156
2026-08-30 13:38:06,2,4,70 Steffen Van,28 Anika,0,0,0,0,0,0,0,1,0,0,0,15.044347,2.089736,14.898503,0.7911814,0.46435156,0.38851914,0.4434542
2026-08-30 13:38:09,2,4,28 Anika,50 Philip Arm,1,1,0,0,0,0,0,0,0,0,0,21.239649,12.661341,-17.053244,0.38851914,0.4434542,0.8494176,0.3168408
2026-08-30 13:38:39,2,5,10 Cedric von,28 Anika,0,0,0,0,0,0,0,1,0,1,0,14.9632225,-0.3073156,14.960067,0.937604,0.52950215,0.53327787,0.5325753
