Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
10 Cedric von,11,"1,3,4,5,7,11,17,20,21,24,26",3,8,3,5,40,9,39,31,9,3,2,1,2,1,1,2,0,0,480.93,263.53,12.66,6.94,314.65,-15.69,10.15,-0.51
81 Emily Cai,9,"1,4,7,10,14,17,18,20,22",2,7,2,2,13,6,13,9,4,2,1,0,1,1,0,0,0,0,125.76,84.12,10.48,7.01,92.41,26.62,10.27,2.96
50 Philip Arm,9,"2,8,12,13,16,19,20,25,26",9,0,4,0,20,6,19,19,1,1,0,1,0,0,0,1,0,0,204.73,30.97,10.78,1.63,186.77,32.76,9.83,1.72
99 Luca Godenzini,9,"6,8,12,15,16,17,19,23,25",8,1,2,1,39,9,39,33,6,0,1,0,3,3,0,0,0,0,342.56,27.66,9.52,0.77,267.36,35.08,8.10,1.06
59 Yael Grob,9,"2,8,12,15,16,17,20,23,26",9,0,5,0,19,6,19,19,0,1,1,0,1,0,1,0,0,0,211.98,34.19,11.16,1.80,254.62,27.51,13.40,1.45
18 Martin Fahndrich,8,"1,3,5,10,14,21,22,24",0,8,0,4,6,3,4,6,0,0,1,2,0,0,0,0,0,0,37.05,-6.98,9.26,-1.74,126.57,95.45,21.10,15.91
70 Steffen Van,8,"6,9,12,15,17,20,23,25",7,1,4,1,41,8,39,41,0,2,1,2,3,3,0,0,0,0,397.16,175.21,11.03,4.87,388.80,116.77,9.48,2.85
28 Anika,8,"2,8,12,15,19,20,23,26",8,0,4,0,45,8,45,41,4,1,1,0,3,3,0,1,0,0,448.57,148.00,10.68,3.52,407.11,16.33,9.93,0.40
12 Anika Gnaedinger,8,"6,8,12,15,17,19,23,26",7,1,3,1,9,5,8,9,0,0,0,1,0,0,0,0,0,0,71.18,9.10,8.90,1.14,123.23,84.12,13.69,9.35
19 Moritz Roevekamp,8,"2,8,9,12,13,16,19,25",8,0,3,0,10,5,10,10,0,1,0,0,0,0,0,0,0,0,102.85,48.19,10.28,4.82,106.40,68.43,10.64,6.84
30 Quinn Bergeron,8,"2,8,9,13,16,17,20,26",8,0,6,0,44,8,43,36,8,0,1,1,2,2,0,0,0,0,405.69,120.24,10.14,3.01,348.48,33.00,9.68,0.92
51 Lilli Gerber,8,"3,4,7,10,11,14,21,22",0,8,0,5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,9.31,9.30,9.31,9.30
23 Lola Bardel,7,"3,5,7,11,14,21,24",0,7,0,4,6,4,6,6,0,0,1,0,0,0,0,1,0,0,58.24,19.50,9.71,3.25,72.41,36.52,12.07,6.09
11 Ronja Seibert,7,"2,6,9,13,16,19,25",6,1,3,1,30,7,30,28,2,0,0,0,3,1,2,0,0,0,275.11,23.50,9.49,0.81,252.80,65.12,9.03,2.33
08 Francesca Pietrafesa,7,"1,3,5,11,18,22,24",0,7,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,19.86,-13.46,9.93,-6.73,23.09,20.68,11.55,10.34
95 Benjamin Willi,7,"3,5,7,11,18,22,24",0,7,0,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,26.65,5.54,8.88,1.85,26.21,5.54,8.74,1.85
27 Erica Lastufka,7,"6,9,13,15,19,25,26",6,1,3,1,17,7,16,16,1,0,0,1,1,1,0,1,0,0,167.75,-1.14,11.18,-0.08,183.77,108.02,11.49,6.75
32 Fiona Pacifico,7,"2,6,9,13,16,23,25",6,1,4,1,10,5,9,10,0,0,1,1,1,1,0,0,0,0,71.12,24.94,8.89,3.12,139.62,83.08,13.96,8.31
54 Thanh Elsener,7,"3,5,10,11,18,21,24",0,7,0,5,5,4,4,5,0,0,1,1,1,0,1,0,0,0,36.12,23.11,9.03,5.78,78.85,65.56,15.77,13.11
09 Jan Ghadamian,7,"1,4,7,11,18,21,24",0,7,0,3,9,4,7,8,1,0,0,2,1,1,0,0,0,0,101.30,58.58,16.88,9.76,108.42,57.69,13.55,7.21
29 Malvina Voclova,7,"1,4,7,10,14,18,22",0,7,0,2,3,2,3,3,0,1,0,0,2,2,0,0,0,0,21.85,21.67,21.85,21.67,27.34,16.18,9.11,5.39
34 Noah Kesseli,6,"1,4,10,14,18,22",0,6,0,2,4,2,3,4,0,0,1,1,0,0,0,3,0,0,31.55,6.33,10.52,2.11,68.57,57.30,17.14,14.32
01 Oscar Weber,5,"4,5,10,14,21",0,5,0,4,7,2,7,7,0,1,0,0,1,1,0,1,0,0,92.33,50.17,15.39,8.36,79.55,19.05,11.36,2.72
42 Tim Mueller,5,"6,9,13,15,23",4,1,3,1,11,5,11,11,0,1,1,0,0,0,0,1,0,0,98.70,1.73,8.97,0.16,142.69,90.30,12.97,8.21
