Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
81 Emily Cai,11,"2,3,4,5,7,11,13,16,19,23,25",0,11,0,4,9,6,9,8,1,0,0,0,2,2,0,0,0,0,83.29,40.57,11.90,5.80,92.73,9.15,11.59,1.14
30 Quinn Bergeron,10,"1,5,8,10,12,13,15,17,21,22",8,2,7,0,40,9,40,34,6,4,2,0,3,3,0,3,0,0,504.87,223.85,13.65,6.05,314.53,50.37,9.25,1.48
28 Anika,9,"1,6,10,14,15,17,21,22,26",9,0,7,0,52,9,52,44,8,1,1,0,2,2,0,0,0,0,526.47,167.99,10.97,3.50,414.21,7.13,9.41,0.16
09 Jan Ghadamian,9,"2,4,7,11,13,16,19,23,24",0,9,0,4,3,2,2,3,0,0,0,1,1,1,0,0,0,0,20.04,5.94,20.04,5.94,36.25,11.68,12.08,3.89
17 Alexandra Tutuian,9,"2,3,5,9,11,13,18,23,24",0,9,0,5,8,5,7,8,0,1,1,1,2,2,0,0,0,0,52.81,34.24,10.56,6.85,129.50,119.89,16.19,14.99
08 Francesca Pietrafesa,9,"2,4,7,9,16,18,19,24,25",0,9,0,4,2,2,2,2,0,0,2,0,0,0,0,0,0,0,39.46,32.41,19.73,16.20,25.97,19.84,12.98,9.92
10 Cedric von,8,"2,4,7,11,16,19,24,25",0,8,0,3,16,4,16,8,8,3,0,0,0,0,0,2,0,0,290.59,224.49,18.16,14.03,98.87,37.61,12.36,4.70
99 Luca Godenzini,8,"1,8,12,14,17,20,22,26",8,0,6,0,33,8,33,29,4,0,0,0,1,1,0,0,0,0,316.78,57.89,9.90,1.81,284.74,-18.46,9.82,-0.64
12 Anika Gnaedinger,8,"6,10,12,14,17,21,22,26",8,0,6,0,8,5,8,8,0,0,0,0,1,1,0,0,0,0,56.77,-13.85,8.11,-1.98,79.80,48.00,9.97,6.00
27 Erica Lastufka,7,"1,8,10,13,15,20,26",6,1,5,0,10,6,10,10,0,2,1,0,1,0,1,0,0,0,102.25,-10.34,10.22,-1.03,136.03,112.07,13.60,11.21
54 Thanh Elsener,7,"3,5,9,16,19,23,25",0,7,0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,11.06,8.07,11.06,8.07,9.23,-2.92,9.23,-2.92
59 Yael Grob,7,"6,8,12,14,15,20,22",7,0,5,0,11,6,9,11,0,0,0,2,1,0,1,0,0,0,90.47,2.92,10.05,0.32,169.79,87.14,15.44,7.92
03 Jason Christian,7,"3,5,9,13,18,23,25",0,7,0,3,10,4,9,6,4,1,1,1,0,0,0,0,0,0,121.08,57.99,13.45,6.44,66.23,16.13,11.04,2.69
70 Steffen Van,7,"1,6,10,14,17,20,21",7,0,4,0,14,7,11,13,1,0,1,3,1,1,0,0,0,0,99.04,54.03,9.90,5.40,162.38,54.13,12.49,4.16
19 Moritz Roevekamp,7,"1,8,12,14,17,21,26",7,0,5,0,21,6,18,21,0,0,1,3,0,0,0,2,0,0,167.16,-39.39,9.29,-2.19,223.21,94.66,10.63,4.51
50 Philip Arm,7,"6,8,12,15,20,21,26",7,0,5,0,9,4,9,9,0,2,2,0,0,0,0,0,0,0,117.55,81.94,13.06,9.10,106.99,32.01,11.89,3.56
18 Martin Fahndrich,7,"2,4,7,11,16,19,24",0,7,0,3,10,3,7,10,0,0,0,3,2,2,0,2,0,0,46.91,-4.35,9.38,-0.87,216.74,195.55,21.67,19.55
11 Ronja Seibert,7,"1,8,12,14,17,20,22",7,0,5,0,16,6,16,14,2,0,1,0,3,2,1,0,0,0,122.07,8.76,8.72,0.63,146.56,-14.84,10.47,-1.06
34 Noah Kesseli,7,"3,5,9,13,18,23,25",0,7,0,3,5,4,5,5,0,0,0,0,0,0,0,1,0,0,48.03,-4.85,9.61,-0.97,67.17,44.38,13.43,8.88
29 Malvina Voclova,6,"2,4,7,11,18,24",0,6,0,4,3,2,3,3,0,0,0,0,0,0,0,0,0,0,32.33,9.20,10.78,3.07,30.72,4.85,10.24,1.62
51 Lilli Gerber,6,"3,7,11,18,19,23",0,6,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,27.23,27.16,27.23,27.16,13.36,7.08,13.36,7.08
42 Tim Mueller,5,"6,10,15,20,22",5,0,4,0,3,2,3,3,0,0,0,0,1,0,1,0,0,0,29.44,-3.71,9.81,-1.24,39.05,23.65,13.02,7.88
32 Fiona Pacifico,5,"6,10,15,21,26",5,0,4,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,5.26,-4.50,5.26,-4.50,53.58,42.31,26.79,21.15
01 Oscar Weber,5,"3,5,9,18,25",0,5,0,2,2,1,2,2,0,0,1,0,0,0,0,0,0,0,22.20,21.13,11.10,10.56,15.51,-3.81,7.76,-1.90
95 Benjamin Willi,4,"4,9,16,24",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
