Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
27 Erica Lastufka,10,"2,5,8,9,13,15,16,21,24,25",8,2,5,2,18,10,17,18,0,2,1,1,2,1,1,1,0,0,180.62,106.93,11.29,6.68,237.74,158.88,13.21,8.83
30 Quinn Bergeron,10,"2,3,8,9,13,15,16,19,21,24",8,2,5,2,34,9,32,27,7,1,2,2,1,0,1,0,0,0,359.86,125.53,11.25,3.92,262.91,15.88,9.74,0.59
08 Francesca Pietrafesa,9,"1,4,7,12,17,18,20,22,23",0,9,0,3,2,1,2,2,0,0,0,0,1,1,0,0,0,0,7.31,7.17,7.31,7.17,32.62,29.49,16.31,14.75
81 Emily Cai,9,"1,6,10,12,16,17,20,21,23",0,9,0,5,17,4,16,13,4,2,0,1,2,2,0,0,0,0,179.73,110.09,13.83,8.47,149.08,47.01,11.47,3.62
09 Jan Ghadamian,9,"4,7,10,12,14,17,20,21,23",0,9,0,3,9,5,9,9,0,0,0,0,2,2,0,0,0,0,90.78,49.78,12.97,7.11,119.42,54.58,13.27,6.06
10 Cedric von,9,"4,7,10,12,14,16,18,22,23",0,9,0,2,11,4,10,7,4,1,1,1,0,0,0,0,0,0,125.39,80.26,13.93,8.92,91.91,1.19,13.13,0.17
34 Noah Kesseli,8,"1,6,10,14,16,18,21,23",0,8,0,3,4,1,4,4,0,0,0,0,0,0,0,0,0,0,42.49,5.24,10.62,1.31,40.93,20.09,10.23,5.02
12 Anika Gnaedinger,8,"3,5,9,11,13,16,19,25",7,1,7,1,14,6,11,14,0,0,1,3,0,0,0,0,0,0,102.33,16.67,9.30,1.52,208.04,120.58,14.86,8.61
17 Alexandra Tutuian,8,"1,7,12,14,16,18,20,21",0,8,0,3,6,4,6,6,0,1,2,0,1,0,1,1,0,0,79.69,2.67,13.28,0.45,81.57,66.55,13.60,11.09
28 Anika,8,"3,8,9,11,15,21,24,25",7,1,5,1,17,7,16,17,0,3,0,1,1,0,1,0,0,0,224.93,184.07,14.06,11.50,168.45,50.27,9.91,2.96
70 Steffen Van,7,"2,5,9,11,15,19,25",7,0,6,0,19,6,17,18,1,2,0,2,2,2,0,0,0,0,150.36,73.58,10.02,4.91,184.50,112.12,10.25,6.23
59 Yael Grob,7,"2,5,8,11,13,19,24",7,0,4,0,6,4,6,6,0,0,0,0,0,0,0,0,0,0,52.38,-31.72,8.73,-5.29,57.99,24.20,9.67,4.03
18 Martin Fahndrich,6,"6,7,12,17,20,22",0,6,0,4,7,2,6,7,0,0,1,1,1,0,1,0,0,0,42.93,7.92,7.16,1.32,95.12,72.69,13.59,10.38
99 Luca Godenzini,6,"2,3,8,11,15,25",6,0,4,0,11,5,11,6,5,0,2,0,1,1,0,0,0,0,91.89,34.78,9.19,3.48,60.98,-0.99,10.16,-0.16
11 Ronja Seibert,6,"2,5,9,13,19,25",6,0,5,0,15,6,15,14,1,0,0,0,0,0,0,0,0,0,179.14,49.93,11.94,3.33,128.85,9.20,9.20,0.66
51 Lilli Gerber,6,"4,6,10,14,17,22",0,6,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,6.64,3.51,6.64,3.51,10.09,9.15,10.09,9.15
19 Moritz Roevekamp,6,"2,5,8,11,15,24",6,0,3,0,6,5,6,6,0,0,1,0,1,1,0,0,0,0,44.83,8.81,8.97,1.76,74.43,36.96,12.40,6.16
50 Philip Arm,6,"3,5,11,13,19,24",6,0,5,0,4,2,4,4,0,1,0,0,0,0,0,0,0,0,52.44,35.23,13.11,8.81,42.44,2.72,10.61,0.68
42 Tim Mueller,5,"3,9,13,19,25",5,0,5,0,2,2,2,2,0,0,1,0,0,0,0,0,0,0,23.09,-10.04,11.54,-5.02,40.86,38.25,20.43,19.12
95 Benjamin Willi,5,"4,7,17,20,22",0,5,0,3,7,3,5,6,1,1,0,2,0,0,0,0,0,0,60.72,45.77,12.14,9.15,77.24,45.67,12.87,7.61
23 Lola Bardel,5,"1,7,14,17,22",0,5,0,2,9,2,9,7,2,0,1,0,1,0,1,2,0,0,98.86,29.00,10.98,3.22,68.84,23.26,9.83,3.32
03 Jason Christian,5,"1,6,10,18,22",0,5,0,2,5,2,5,4,1,0,1,0,1,0,1,0,0,0,70.67,23.01,14.13,4.60,30.46,6.73,7.62,1.68
54 Thanh Elsener,5,"6,12,18,20,23",0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01 Oscar Weber,5,"1,6,14,18,23",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32 Fiona Pacifico,4,"3,8,15,24",4,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,17.62,-0.94,8.81,-0.47,20.24,12.77,10.12,6.38
29 Malvina Voclova,2,"4,10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
