Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
81 Emily Cai,12,"1,5,9,11,13,15,17,19,22,25,27,28",1,11,1,3,12,6,12,8,4,1,1,0,3,2,1,0,0,0,139.00,92.62,13.90,9.26,88.62,42.59,11.08,5.32
17 Alexandra Tutuian,12,"1,3,9,12,13,15,17,20,22,23,25,27",1,11,0,3,4,3,4,4,0,0,0,0,2,1,1,0,0,0,33.23,-5.65,11.08,-1.88,50.29,48.13,12.57,12.03
09 Jan Ghadamian,11,"1,5,11,12,15,17,19,22,23,25,27",0,11,0,4,10,5,8,9,1,1,0,2,0,0,0,2,0,0,116.77,70.87,14.60,8.86,170.93,87.77,18.99,9.75
59 Yael Grob,11,"2,4,7,8,10,16,18,20,21,26,28",11,0,9,0,31,8,29,31,0,2,1,2,0,0,0,0,0,0,318.19,73.69,10.97,2.54,359.10,97.42,11.58,3.14
12 Anika Gnaedinger,11,"2,6,7,8,10,16,18,21,24,26,28",11,0,9,0,15,7,14,15,0,0,0,1,1,1,0,0,0,0,105.74,10.51,8.13,0.81,228.09,126.49,15.21,8.43
30 Quinn Bergeron,10,"2,6,8,14,16,18,20,24,26,28",10,0,8,0,25,10,22,19,6,2,1,3,2,1,1,3,0,0,316.98,96.31,15.09,4.59,301.74,199.57,15.88,10.50
27 Erica Lastufka,10,"4,7,10,14,16,20,21,24,26,28",10,0,8,0,22,10,21,22,0,1,3,1,3,2,1,1,0,0,222.26,4.79,11.70,0.25,286.35,122.00,13.02,5.55
18 Martin Fahndrich,9,"1,5,11,13,15,17,22,23,27",0,9,0,3,2,1,2,2,0,1,0,0,0,0,0,1,0,0,65.63,42.41,32.81,21.20,35.88,35.10,17.94,17.55
34 Noah Kesseli,9,"1,3,9,12,15,17,19,22,27",0,9,0,3,6,4,4,6,0,0,0,2,0,0,0,1,0,0,36.45,-5.90,9.11,-1.48,123.15,109.28,20.52,18.21
28 Anika,9,"2,4,6,8,14,18,20,21,24",9,0,7,0,36,10,35,30,6,1,1,1,3,3,0,0,0,0,457.05,246.59,14.28,7.71,329.84,-32.02,10.99,-1.07
10 Cedric von,8,"4,7,10,16,18,21,26,28",8,0,7,0,33,8,33,26,7,1,2,0,4,4,0,1,0,0,347.53,61.95,11.98,2.14,272.17,80.15,10.47,3.08
03 Jason Christian,8,"3,5,11,13,15,19,22,27",0,8,0,3,15,4,15,10,5,0,1,0,1,1,0,0,0,0,161.37,73.69,12.41,5.67,102.53,-15.12,10.25,-1.51
51 Lilli Gerber,8,"1,5,9,12,15,17,25,27",0,8,0,2,2,2,2,1,1,1,0,0,1,0,1,1,0,0,64.36,57.53,32.18,28.76,9.44,-2.89,9.44,-2.89
08 Francesca Pietrafesa,8,"1,3,11,12,13,17,19,23",0,8,0,2,5,3,5,5,0,0,1,0,1,1,0,0,0,0,37.07,1.72,9.27,0.43,69.56,42.41,13.91,8.48
99 Luca Godenzini,7,"2,6,10,14,16,20,24",7,0,5,0,14,6,14,10,4,0,1,0,1,1,0,0,0,0,149.86,47.82,11.53,3.68,95.75,-15.67,9.58,-1.57
70 Steffen Van,7,"4,7,8,10,18,21,28",7,0,6,0,25,7,25,24,1,2,1,0,0,0,0,0,0,0,277.76,144.93,11.11,5.80,236.13,16.90,9.84,0.70
42 Tim Mueller,6,"4,7,10,18,21,26",6,0,5,0,9,5,7,9,0,0,0,2,0,0,0,0,0,0,64.48,-16.35,9.21,-2.34,130.41,72.89,14.49,8.10
32 Fiona Pacifico,6,"4,6,8,14,16,24",6,0,5,0,6,3,5,6,0,0,1,1,0,0,0,0,0,0,43.00,-9.10,8.60,-1.82,105.98,27.11,17.66,4.52
19 Moritz Roevekamp,6,"2,6,8,14,20,26",6,0,4,0,4,3,4,3,1,1,0,0,1,0,1,1,0,0,71.65,58.39,17.91,14.60,44.13,35.40,14.71,11.80
01 Oscar Weber,6,"3,9,12,19,23,25",0,6,0,1,2,2,2,2,0,0,0,0,1,0,1,0,0,0,31.59,18.68,15.79,9.34,24.41,8.48,12.21,4.24
95 Benjamin Willi,6,"3,9,11,13,23,25",0,6,0,1,8,3,8,8,0,0,1,0,0,0,0,0,0,0,70.69,36.14,11.78,6.02,93.75,45.67,11.72,5.71
50 Philip Arm,5,"2,6,7,14,24",5,0,3,0,22,4,22,22,0,1,0,0,1,1,0,0,0,0,212.78,39.40,10.13,1.88,186.08,20.65,8.46,0.94
23 Lola Bardel,5,"3,9,13,19,22",0,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,15.26,15.12,15.26,15.12,14.32,3.87,14.32,3.87
54 Thanh Elsener,3,"5,11,25",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29 Malvina Voclova,3,"5,12,23",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
