Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
08 Francesca Pietrafesa,9,"1,3,5,7,10,13,15,17,19",0,9,0,5,4,4,4,4,0,0,2,0,0,0,0,0,0,0,36.52,21.67,9.13,5.42,64.15,49.48,16.04,12.37
09 Jan Ghadamian,9,"2,3,5,9,11,14,15,17,18",0,9,0,6,10,5,9,8,2,0,0,1,1,1,0,0,0,0,105.96,50.02,13.24,6.25,100.97,56.90,12.62,7.11
34 Noah Kesseli,9,"1,3,7,10,11,13,15,18,19",0,9,0,6,5,5,5,5,0,0,0,0,2,2,0,2,0,0,61.00,21.38,20.33,7.13,67.04,16.97,13.41,3.39
18 Martin Fahndrich,8,"2,5,9,11,14,15,18,19",0,8,0,6,6,4,4,6,0,1,0,2,2,1,1,1,0,0,34.71,8.41,11.57,2.80,123.11,102.28,20.52,17.05
81 Emily Cai,8,"1,3,5,9,10,13,15,18",0,8,0,5,18,7,18,10,8,3,0,0,3,3,0,0,0,0,208.59,110.92,13.91,7.39,133.79,84.43,13.38,8.44
17 Alexandra Tutuian,8,"1,2,7,9,11,14,17,19",0,8,0,7,9,7,6,9,0,1,1,3,1,0,1,2,0,0,75.36,47.34,12.56,7.89,188.80,175.79,20.98,19.53
01 Oscar Weber,7,"1,3,7,10,13,15,18",0,7,0,4,8,5,8,8,0,1,0,0,0,0,0,1,0,0,112.52,45.30,14.06,5.66,104.85,39.77,13.11,4.97
10 Cedric von,7,"2,7,10,11,14,17,19",0,7,0,6,22,7,21,14,8,3,1,1,2,2,0,1,0,0,304.42,202.57,19.03,12.66,149.25,-29.99,10.66,-2.14
23 Lola Bardel,6,"3,5,9,14,17,18",0,6,0,4,4,3,4,4,0,0,1,0,0,0,0,0,0,0,51.61,43.59,12.90,10.90,37.29,15.19,9.32,3.80
54 Thanh Elsener,6,"2,7,11,14,17,19",0,6,0,5,4,3,4,4,0,0,0,0,1,0,1,1,0,0,31.95,-18.26,7.99,-4.56,45.18,27.81,11.30,6.95
29 Malvina Voclova,6,"1,5,10,13,15,18",0,6,0,4,4,3,4,4,0,0,0,0,1,1,0,0,0,0,37.67,33.84,12.56,11.28,48.06,33.70,12.01,8.42
03 Jason Christian,6,"1,3,5,9,10,13",0,6,0,4,9,4,7,5,4,0,1,2,0,0,0,2,0,0,97.76,38.99,13.97,5.57,81.20,47.15,16.24,9.43
95 Benjamin Willi,5,"2,7,14,17,19",0,5,0,4,7,3,7,6,1,1,1,0,1,0,1,0,0,0,87.26,48.19,12.47,6.88,78.89,13.16,13.15,2.19
51 Lilli Gerber,4,"2,9,11,13",0,4,0,4,1,1,1,1,0,0,1,0,0,0,0,1,0,0,7.42,7.32,7.42,7.32,7.41,6.63,7.41,6.63
27 Erica Lastufka,4,"4,8,12,16",4,0,4,0,7,4,7,7,0,0,0,0,0,0,0,0,0,0,75.34,40.57,10.76,5.80,88.43,42.90,12.63,6.13
28 Anika,4,"4,6,12,16",4,0,4,0,11,4,10,9,2,0,1,1,3,2,1,1,0,0,111.14,82.04,13.89,10.25,127.36,65.26,14.15,7.25
59 Yael Grob,4,"4,6,8,16",4,0,4,0,6,3,6,6,0,2,0,0,1,1,0,0,0,0,68.17,43.89,13.63,8.78,79.59,49.63,13.26,8.27
11 Ronja Seibert,4,"4,8,12,16",4,0,4,0,16,3,16,13,3,1,0,0,1,1,0,0,0,0,180.45,71.99,12.03,4.80,133.93,75.06,10.30,5.77
99 Luca Godenzini,3,"4,6,12",3,0,3,0,6,3,6,3,3,0,0,0,0,0,0,0,0,0,67.68,20.78,11.28,3.46,27.03,-14.65,9.01,-4.88
30 Quinn Bergeron,3,"6,8,16",3,0,3,0,7,2,7,6,1,0,1,0,0,0,0,0,0,0,82.32,33.94,11.76,4.85,43.75,-1.63,7.29,-0.27
50 Philip Arm,3,"4,8,16",3,0,3,0,11,3,9,11,0,0,0,2,0,0,0,1,0,0,84.16,13.21,9.35,1.47,151.92,79.91,13.81,7.26
19 Moritz Roevekamp,3,"4,8,16",3,0,3,0,4,3,3,4,0,0,1,1,0,0,0,0,0,0,29.96,8.21,9.99,2.74,50.92,31.12,12.73,7.78
32 Fiona Pacifico,3,"6,8,12",3,0,3,0,3,3,3,3,0,0,1,0,0,0,0,0,0,0,25.89,17.57,8.63,5.86,38.28,31.96,12.76,10.65
42 Tim Mueller,2,"6,12",2,0,2,0,2,1,1,2,0,0,1,1,0,0,0,0,0,0,11.14,9.80,11.14,9.80,28.51,27.46,14.26,13.73
70 Steffen Van,2,"6,12",2,0,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,75.52,70.21,37.76,35.11,22.07,19.89,11.04,9.95
