Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
81 Emily Cai,10,"1,2,5,6,10,14,15,17,19,20",4,6,3,2,8,6,8,8,0,1,3,0,1,1,0,0,0,0,81.17,41.57,11.60,5.94,69.08,36.49,8.64,4.56
30 Quinn Bergeron,9,"3,4,7,8,10,12,14,18,21",9,0,3,0,18,8,17,14,4,0,0,1,2,2,0,0,0,0,198.15,122.92,13.21,8.19,164.75,15.26,11.77,1.09
34 Noah Kesseli,9,"1,2,5,6,10,14,15,17,19",4,5,3,2,6,4,5,6,0,0,0,1,1,1,0,0,0,0,52.09,27.05,13.02,6.76,77.88,46.55,12.98,7.76
10 Cedric von,9,"1,2,5,6,10,14,17,19,20",4,5,3,2,19,7,19,13,6,1,0,0,1,0,1,0,0,0,242.45,138.34,12.76,7.28,145.65,0.40,11.20,0.03
59 Yael Grob,9,"3,4,8,9,12,14,16,18,21",9,0,2,0,6,5,5,6,0,0,0,1,1,1,0,0,0,0,30.55,-18.44,7.64,-4.61,119.96,100.96,19.99,16.83
27 Erica Lastufka,9,"3,4,7,9,10,12,13,18,21",9,0,2,0,3,2,3,3,0,1,0,0,0,0,0,0,0,0,68.02,48.82,22.67,16.27,33.12,28.88,11.04,9.63
28 Anika,9,"3,4,7,8,12,13,14,16,21",9,0,2,0,14,8,14,10,4,0,2,0,2,2,0,0,0,0,149.76,83.59,12.48,6.97,97.39,6.67,9.74,0.67
17 Alexandra Tutuian,8,"1,2,5,6,11,17,19,20",2,6,1,2,4,2,3,4,0,0,0,1,0,0,0,0,0,0,26.31,-7.27,8.77,-2.42,42.31,37.25,10.58,9.31
08 Francesca Pietrafesa,8,"1,2,5,6,11,17,19,20",2,6,1,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,8.35,1.29,8.35,1.29,13.92,11.80,13.92,11.80
09 Jan Ghadamian,7,"1,2,5,10,15,17,19",3,4,2,2,8,4,8,8,0,3,0,0,1,1,0,0,0,0,90.27,47.71,12.90,6.82,104.94,43.78,13.12,5.47
50 Philip Arm,7,"3,4,8,12,14,16,21",7,0,2,0,5,4,4,5,0,0,0,1,0,0,0,0,0,0,44.73,-13.21,11.18,-3.30,97.99,71.32,19.60,14.26
99 Luca Godenzini,6,"3,7,9,13,16,18",6,0,0,0,13,6,13,8,5,0,0,0,4,4,0,0,0,0,115.60,73.47,12.84,8.16,75.31,-4.60,9.41,-0.57
70 Steffen Van,6,"3,4,7,9,13,18",6,0,1,0,8,3,8,6,2,0,0,0,0,0,0,0,0,0,102.82,13.22,12.85,1.65,71.69,17.58,11.95,2.93
12 Anika Gnaedinger,6,"4,8,9,10,13,16",6,0,2,0,3,2,3,3,0,0,0,0,1,1,0,0,0,0,19.47,-4.60,9.74,-2.30,35.22,20.79,11.74,6.93
42 Tim Mueller,5,"8,12,16,18,21",5,0,0,0,4,3,4,4,0,0,0,0,1,1,0,0,0,0,33.93,-4.88,11.31,-1.63,64.30,42.73,16.07,10.68
11 Ronja Seibert,5,"7,9,12,16,18",5,0,0,0,5,1,5,5,0,0,0,0,1,1,0,0,0,0,32.50,-15.66,8.12,-3.92,50.17,17.91,10.03,3.58
51 Lilli Gerber,4,"1,5,15,17",1,3,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,16.68,13.27,16.68,13.27
18 Martin Fahndrich,4,"2,11,15,19",1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.92,-10.45,14.92,-10.45,23.11,21.27,23.11,21.27
32 Fiona Pacifico,3,"8,13,21",3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.92,5.84,5.92,5.84,13.97,5.29,13.97,5.29
03 Jason Christian,3,"6,11,15",0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,11.12,1.05,11.12,1.05,0.00,0.00,0.00,0.00
01 Oscar Weber,3,"6,11,20",0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,10.61,8.48,10.61,8.48,10.16,4.21,10.16,4.21
19 Moritz Roevekamp,3,"7,9,13",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23 Lola Bardel,2,"11,20",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.66,1.58,11.66,1.58,11.12,1.05,11.12,1.05
95 Benjamin Willi,2,"11,20",0,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,11.66,1.58,11.66,1.58
54 Thanh Elsener,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
