Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
59 Yael Grob,8,"3,4,5,8,13,14,18,20",8,0,3,0,4,4,4,4,0,1,0,0,2,1,1,0,0,0,28.80,20.53,9.60,6.84,64.10,31.62,16.02,7.91
10 Cedric von,8,"2,4,5,10,12,13,14,18",8,0,2,0,18,8,18,9,9,1,0,0,4,4,0,1,0,0,203.92,119.02,14.57,8.50,97.29,13.09,10.81,1.45
32 Fiona Pacifico,8,"2,3,4,10,12,13,16,20",8,0,3,0,4,2,4,4,0,0,0,0,2,2,0,0,0,0,13.18,9.28,6.59,4.64,50.86,49.05,12.72,12.26
99 Luca Godenzini,8,"3,5,8,10,13,14,18,20",8,0,4,0,16,7,14,11,5,0,1,2,4,4,0,0,0,0,112.42,19.64,11.24,1.96,149.74,72.71,13.61,6.61
30 Quinn Bergeron,8,"2,3,4,8,12,14,16,20",8,0,4,0,21,7,19,13,8,0,1,2,5,4,1,1,0,0,193.86,51.69,13.85,3.69,166.59,66.35,12.81,5.10
12 Anika Gnaedinger,8,"2,4,5,8,12,14,16,18",8,0,3,0,8,6,8,8,0,0,0,0,1,1,0,1,0,0,78.25,17.76,11.18,2.54,100.82,56.73,12.60,7.09
28 Anika,8,"2,4,5,8,12,13,18,20",8,0,2,0,19,6,19,14,5,0,2,0,2,2,0,0,0,0,187.58,96.50,12.51,6.43,143.32,1.17,10.24,0.08
17 Alexandra Tutuian,7,"1,6,9,11,15,17,21",1,6,1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,10.25,6.70,10.25,6.70,50.01,49.97,25.00,24.98
81 Emily Cai,7,"1,6,7,9,11,15,21",1,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.80,8.79,8.80,8.79,9.77,8.17,9.77,8.17
09 Jan Ghadamian,6,"1,6,9,15,19,21",2,4,1,0,5,2,5,4,1,0,1,0,1,1,0,0,0,0,29.04,11.25,9.68,3.75,49.52,37.49,12.38,9.37
27 Erica Lastufka,6,"8,10,12,13,16,20",6,0,4,0,6,4,5,6,0,1,1,1,1,0,1,0,0,0,62.48,47.14,12.50,9.43,98.51,65.40,16.42,10.90
34 Noah Kesseli,6,"1,6,9,11,15,19",2,4,1,0,7,1,7,7,0,0,0,0,1,0,1,0,0,0,65.24,32.39,9.32,4.63,55.99,-25.75,8.00,-3.68
18 Martin Fahndrich,6,"1,6,7,11,15,21",1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03 Jason Christian,5,"6,7,9,15,17",1,4,1,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,50.98,49.35,25.49,24.68,10.87,10.33,10.87,10.33
08 Francesca Pietrafesa,5,"1,6,15,19,21",2,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.21,-3.50,12.21,-3.50,12.17,6.70,12.17,6.70
50 Philip Arm,5,"2,5,10,13,16",5,0,2,0,6,2,6,6,0,1,0,0,0,0,0,0,0,0,66.54,28.21,13.31,5.64,60.51,17.64,10.08,2.94
11 Ronja Seibert,5,"3,5,10,14,16",5,0,3,0,4,2,4,3,1,0,0,0,0,0,0,0,0,0,46.69,20.65,11.67,5.16,23.71,-8.05,7.90,-2.68
01 Oscar Weber,5,"7,11,17,19,21",1,4,0,0,5,1,5,3,2,0,0,0,2,2,0,0,0,0,41.47,22.00,13.82,7.33,24.59,16.35,8.20,5.45
95 Benjamin Willi,4,"7,11,17,19",1,3,0,0,8,1,8,5,3,0,0,0,1,1,0,0,0,0,72.03,26.61,10.29,3.80,50.48,-1.41,10.10,-0.28
23 Lola Bardel,4,"7,11,19,21",1,3,0,0,3,1,3,3,0,0,0,0,0,0,0,1,0,0,28.20,-13.83,9.40,-4.61,34.05,13.21,11.35,4.40
51 Lilli Gerber,4,"1,7,17,19",1,3,0,0,2,1,2,2,0,0,0,0,1,1,0,0,0,0,5.03,-1.29,5.03,-1.29,25.82,23.42,12.91,11.71
42 Tim Mueller,4,"10,14,16,20",4,0,4,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,20.39,12.48,10.19,6.24,19.07,14.81,9.54,7.41
70 Steffen Van,4,"2,3,8,18",4,0,1,0,6,4,6,6,0,0,0,0,2,1,1,2,0,0,54.53,10.20,10.91,2.04,85.23,58.21,14.21,9.70
19 Moritz Roevekamp,4,"3,4,12,18",4,0,0,0,4,2,4,4,0,0,0,0,1,0,1,0,0,0,34.08,5.90,8.52,1.48,42.97,20.28,10.74,5.07
54 Thanh Elsener,2,"9,17",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29 Malvina Voclova,2,"9,17",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
