Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
10 Cedric von,15,"1,5,9,11,13,15,17,19,20,21,23,24,25,27,28",15,0,10,0,37,14,34,22,15,5,2,3,6,5,1,0,0,0,534.67,386.79,19.10,13.81,246.43,-29.26,11.20,-1.33
30 Quinn Bergeron,15,"1,9,11,13,15,17,19,20,21,23,24,25,27,28,29",14,1,9,1,25,12,20,21,4,2,2,5,3,2,1,1,0,0,270.90,114.20,15.05,6.34,423.95,286.85,20.19,13.66
09 Jan Ghadamian,12,"2,4,6,7,8,10,12,16,18,22,26,29",0,12,0,4,10,5,7,9,1,0,0,3,0,0,0,1,0,0,76.96,7.25,10.99,1.04,134.58,86.60,14.95,9.62
59 Yael Grob,12,"5,9,11,13,17,19,20,21,23,24,27,28",12,0,7,0,8,6,8,8,0,0,2,0,1,0,1,0,0,0,77.52,-39.46,9.69,-4.93,109.73,73.20,13.72,9.15
17 Alexandra Tutuian,11,"2,4,6,8,10,12,16,18,22,26,29",0,11,0,3,3,3,3,3,0,0,1,0,2,1,1,0,0,0,21.45,20.10,10.73,10.05,37.78,35.10,12.59,11.70
27 Erica Lastufka,11,"1,5,11,13,15,19,21,24,25,27,28",11,0,8,0,4,4,3,4,0,1,1,1,1,0,1,0,0,0,36.37,11.12,12.12,3.71,89.56,81.44,22.39,20.36
81 Emily Cai,11,"2,4,7,8,10,12,14,18,22,26,29",0,11,0,3,8,7,8,5,3,0,1,0,2,2,0,0,0,0,75.30,39.77,12.55,6.63,52.97,7.13,10.59,1.43
28 Anika,10,"5,9,13,15,17,20,21,25,27,28",10,0,8,0,20,6,20,17,3,2,0,0,5,4,1,0,0,0,186.74,92.81,11.67,5.80,178.07,11.62,10.47,0.68
34 Noah Kesseli,10,"2,3,6,8,12,16,18,22,26,29",0,10,0,4,8,6,8,8,0,2,1,0,1,1,0,2,0,0,143.59,121.14,20.51,17.31,137.82,94.10,17.23,11.76
12 Anika Gnaedinger,9,"1,5,9,15,17,20,24,25,28",9,0,7,0,5,4,4,5,0,0,0,1,0,0,0,0,0,0,39.82,-16.29,9.95,-4.07,63.65,42.96,12.73,8.59
18 Martin Fahndrich,9,"2,3,6,7,10,14,16,18,26",0,9,0,4,8,6,6,8,0,2,0,2,2,2,0,0,0,0,44.95,36.20,11.24,9.05,159.97,130.85,20.00,16.36
03 Jason Christian,8,"2,4,7,10,14,18,26,28",1,7,1,2,18,6,18,11,7,0,1,0,2,2,0,1,0,0,164.27,19.79,10.27,1.24,81.76,0.86,7.43,0.08
95 Benjamin Willi,7,"3,6,8,10,12,14,22",0,7,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,51.47,48.56,25.73,24.28,19.80,1.29,9.90,0.65
08 Francesca Pietrafesa,7,"3,4,7,12,16,26,29",0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11 Ronja Seibert,7,"1,11,13,19,20,23,24",7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51 Lilli Gerber,6,"3,6,8,12,16,29",0,6,0,3,3,3,3,2,1,0,1,0,1,1,0,1,0,0,17.21,-3.01,8.60,-1.51,29.48,11.74,14.74,5.87
32 Fiona Pacifico,6,"1,9,17,21,23,25",6,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.13,4.55,11.13,4.55,14.02,7.44,14.02,7.44
99 Luca Godenzini,5,"11,15,19,23,27",5,0,2,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,26.58,10.57,8.86,3.52,22.09,-0.43,7.36,-0.14
01 Oscar Weber,5,"3,4,7,14,22",0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50 Philip Arm,4,"1,13,21,27",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54 Thanh Elsener,4,"4,8,16,22",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42 Tim Mueller,4,"5,11,19,25",4,0,3,0,3,2,3,3,0,0,1,0,0,0,0,0,0,0,25.38,-10.02,8.46,-3.34,27.19,7.99,9.06,2.66
23 Lola Bardel,4,"2,6,10,14",0,4,0,2,3,2,3,2,1,0,0,0,0,0,0,0,0,0,35.56,23.48,11.85,7.83,16.98,-9.28,8.49,-4.64
70 Steffen Van,4,"5,15,20,24",4,0,2,0,4,3,4,4,0,1,0,0,0,0,0,0,0,0,65.47,21.57,16.37,5.39,62.07,40.44,15.52,10.11
29 Malvina Voclova,4,"3,7,14,18",0,4,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,3.58,-0.31,3.58,-0.31,0.00,0.00,0.00,0.00
19 Moritz Roevekamp,3,"9,17,23",3,0,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,24.26,15.24,12.13,7.62,25.26,23.42,12.63,11.71
